"","fieldsite","Age","ageclass","Gender","CTL","C6_prev_6","C6_prev_11","C6_prev_12","C6_prev_13","C6_prev_14","C6_prev_15","R4_relig_spirit","PO1_gen_1","PO1_gen_2","threat","R1_comm_risk_1","R1_comm_risk_2","R1_comm_risk_3","R1_comm_risk_4","Vaccinated","WaxWilling","HandWash","HandDisinfect","StayHome","Antibact","MaskFreq","AvoidPublic","Stockup","AltRem","CoverCough","SocDist","selfthreat","famthreat","commthreat","countrythreat","Threat","PO_social","PO_econ","CTL_c","AGE_c","threat_c","selfthreat_c","famthreat_c","commthreat_c","countrythreat_c","religious","spiritual","non_relig"
"1","BZ",41,"40-49","1",24,4,NA,NA,NA,NA,NA,3,7,7,19,4,5,5,5,0,5,5,5,5,4,4,4,5,4,5,4,4,5,5,5,19,7,7,1.71827411167513,-1.26395939086294,1.55329949238579,-0.210659898477157,0.682741116751269,0.634517766497462,0.446700507614213,0,0,1
"2","BZ",25,"18-29","1",17,6,NA,NA,NA,NA,NA,2,2,2,19,4,5,5,5,1,NA,5,4,5,3,4,6,3,5,6,5,4,5,5,5,19,2,2,-5.28172588832487,-17.2639593908629,1.55329949238579,-0.210659898477157,0.682741116751269,0.634517766497462,0.446700507614213,0,1,0
"3","BZ",36,"30-39","2",26,6,NA,NA,NA,NA,NA,2,7,6,18,4,4,5,5,0,7,5,7,6,7,7,6,5,6,7,7,4,4,5,5,18,7,6,3.71827411167513,-6.26395939086294,0.553299492385786,-0.210659898477157,-0.317258883248731,0.634517766497462,0.446700507614213,0,1,0
"4","BZ",43,"40-49","1",14,7,NA,NA,NA,NA,NA,3,3,2,20,5,5,5,5,1,NA,7,7,7,3,7,7,7,1,7,7,5,5,5,5,20,3,2,-8.28172588832487,0.736040609137056,2.55329949238579,0.789340101522843,0.682741116751269,0.634517766497462,0.446700507614213,0,0,1
"5","BZ",45,"40-49","2",27,6,NA,NA,NA,NA,NA,1,8,8,4,1,1,1,1,0,4,6,7,6,1,7,6,6,6,1,6,1,1,1,1,4,8,8,4.71827411167513,2.73604060913706,-13.4467005076142,-3.21065989847716,-3.31725888324873,-3.36548223350254,-3.55329949238579,1,0,0
"6","BZ",27,"18-29","1",31,6,NA,NA,NA,NA,NA,1,7,7,20,5,5,5,5,1,NA,6,6,6,6,6,6,6,6,6,6,5,5,5,5,20,7,7,8.71827411167513,-15.2639593908629,2.55329949238579,0.789340101522843,0.682741116751269,0.634517766497462,0.446700507614213,1,0,0
"7","BZ",28,"18-29","1",21,5,NA,NA,NA,NA,NA,1,5,3,19,5,5,4,5,0,7,7,7,4,6,6,5,5,6,6,4,5,5,4,5,19,5,3,-1.28172588832487,-14.2639593908629,1.55329949238579,0.789340101522843,0.682741116751269,-0.365482233502538,0.446700507614213,1,0,0
"8","BZ",28,"18-29","1",30,7,NA,NA,NA,NA,NA,1,5,5,20,5,5,5,5,0,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,20,5,5,7.71827411167513,-14.2639593908629,2.55329949238579,0.789340101522843,0.682741116751269,0.634517766497462,0.446700507614213,1,0,0
"9","BZ",29,"18-29","1",28,7,NA,NA,NA,NA,NA,1,8,6,15,4,4,4,3,0,6,7,7,7,7,7,7,4,3,7,7,4,4,4,3,15,8,6,5.71827411167513,-13.2639593908629,-2.44670050761421,-0.210659898477157,-0.317258883248731,-0.365482233502538,-1.55329949238579,1,0,0
"10","BZ",68,"65+","2",25,1,NA,NA,NA,NA,NA,3,1,1,20,5,5,5,5,1,NA,7,7,7,7,7,1,1,1,7,7,5,5,5,5,20,1,1,2.71827411167513,25.7360406091371,2.55329949238579,0.789340101522843,0.682741116751269,0.634517766497462,0.446700507614213,0,0,1
"11","BZ",30,"30-39","1",23,6,NA,NA,NA,NA,NA,3,2,1,19,4,5,5,5,0,7,7,7,6,6,7,6,7,5,7,7,4,5,5,5,19,2,1,0.718274111675125,-12.2639593908629,1.55329949238579,-0.210659898477157,0.682741116751269,0.634517766497462,0.446700507614213,0,0,1
"12","BZ",36,"30-39","1",26,4,NA,NA,NA,NA,NA,1,6,4,20,5,5,5,5,0,7,7,6,6,6,7,4,1,1,7,6,5,5,5,5,20,6,4,3.71827411167513,-6.26395939086294,2.55329949238579,0.789340101522843,0.682741116751269,0.634517766497462,0.446700507614213,1,0,0
"13","BZ",32,"30-39","2",31,7,NA,NA,NA,NA,NA,1,2,2,20,5,5,5,5,0,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,20,2,2,8.71827411167513,-10.2639593908629,2.55329949238579,0.789340101522843,0.682741116751269,0.634517766497462,0.446700507614213,1,0,0
"14","BZ",38,"30-39","1",17,6,NA,NA,NA,NA,NA,1,4,4,20,5,5,5,5,0,7,7,7,3,7,7,6,3,1,7,7,5,5,5,5,20,4,4,-5.28172588832487,-4.26395939086294,2.55329949238579,0.789340101522843,0.682741116751269,0.634517766497462,0.446700507614213,1,0,0
"15","BZ",50,"50-64","1",24,7,NA,NA,NA,NA,NA,2,9,9,13,3,3,3,4,0,6,7,7,6,7,7,7,7,1,7,7,3,3,3,4,13,9,9,1.71827411167513,7.73604060913706,-4.44670050761421,-1.21065989847716,-1.31725888324873,-1.36548223350254,-0.553299492385787,0,1,0
"16","BZ",26,"18-29","1",22,7,NA,NA,NA,NA,NA,3,4,4,20,5,5,5,5,0,7,7,7,6,7,7,7,1,1,7,7,5,5,5,5,20,4,4,-0.281725888324875,-16.2639593908629,2.55329949238579,0.789340101522843,0.682741116751269,0.634517766497462,0.446700507614213,0,0,1
"17","BZ",29,"18-29","1",34,7,NA,NA,NA,NA,NA,3,1,2,20,5,5,5,5,0,7,7,7,7,4,7,7,4,1,6,6,5,5,5,5,20,1,2,11.7182741116751,-13.2639593908629,2.55329949238579,0.789340101522843,0.682741116751269,0.634517766497462,0.446700507614213,0,0,1
"18","BZ",27,"18-29","2",25,7,NA,NA,NA,NA,NA,2,2,2,20,5,5,5,5,0,7,7,7,7,7,7,7,7,1,7,7,5,5,5,5,20,2,2,2.71827411167513,-15.2639593908629,2.55329949238579,0.789340101522843,0.682741116751269,0.634517766497462,0.446700507614213,0,1,0
"19","BZ",27,"18-29","1",17,7,NA,NA,NA,NA,NA,3,5,1,20,5,5,5,5,1,NA,7,7,7,7,7,7,7,1,7,7,5,5,5,5,20,5,1,-5.28172588832487,-15.2639593908629,2.55329949238579,0.789340101522843,0.682741116751269,0.634517766497462,0.446700507614213,0,0,1
"20","BZ",31,"30-39","2",23,4,NA,NA,NA,NA,NA,1,4,4,19,5,5,4,5,1,NA,7,7,4,7,7,4,2,1,6,7,5,5,4,5,19,4,4,0.718274111675125,-11.2639593908629,1.55329949238579,0.789340101522843,0.682741116751269,-0.365482233502538,0.446700507614213,1,0,0
"21","BZ",23,"18-29","2",19,4,NA,NA,NA,NA,NA,2,2,3,16,3,4,5,4,1,NA,7,7,7,1,7,4,2,1,7,6,3,4,5,4,16,2,3,-3.28172588832487,-19.2639593908629,-1.44670050761421,-1.21065989847716,-0.317258883248731,0.634517766497462,-0.553299492385787,0,1,0
"22","BZ",34,"30-39","1",25,7,NA,NA,NA,NA,NA,1,1,2,20,5,5,5,5,0,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,20,1,2,2.71827411167513,-8.26395939086294,2.55329949238579,0.789340101522843,0.682741116751269,0.634517766497462,0.446700507614213,1,0,0
